device_id,location,time_collected,depth_level,depth_m,temperature,salinity,turbidity,ph_level,dissolved_oxygen,ammonia,nitrite,nitrate
AUV_CT_SB_1,"Cape Town, Saldanha Bay",2025-09-27 10:00:00,1,5,17.72,34.04,4.41,8.16,7.57,0.0101,0.0056,0.699
AUV_CT_SB_1,"Cape Town, Saldanha Bay",2025-09-27 10:00:05,1,5,17.76,33.95,4.25,8.1,7.78,0.0107,0.008,0.552
AUV_CT_SB_1,"Cape Town, Saldanha Bay",2025-09-27 10:00:10,1,5,18.48,33.97,7.46,8.1,7.5,0.0106,0.007,0.667
AUV_CT_SB_1,"Cape Town, Saldanha Bay",2025-09-27 10:00:15,1,5,18.49,34,3.33,8.13,7.53,0.0069,0.0077,0.462
AUV_CT_SB_1,"Cape Town, Saldanha Bay",2025-09-27 10:00:20,1,5,18.49,33.95,3.08,8.15,7.73,0.0105,0.0046,0.683
AUV_CT_SB_1,"Cape Town, Saldanha Bay",2025-09-27 10:00:25,1,5,18.07,33.98,4.79,8.14,7.6,0.0095,0.0065,0.361
AUV_CT_SB_1,"Cape Town, Saldanha Bay",2025-09-27 10:00:30,1,5,18.1,34.01,3.7,8.16,7.71,0.0066,0.0028,0.329
AUV_CT_SB_1,"Cape Town, Saldanha Bay",2025-09-27 10:00:35,1,5,17.61,33.95,4.61,8.11,7.69,0.0077,0.0068,0.523
AUV_CT_SB_1,"Cape Town, Saldanha Bay",2025-09-27 10:00:40,1,5,18.31,34.02,4.21,8.2,7.68,0.0107,0.0054,0.535
AUV_CT_SB_1,"Cape Town, Saldanha Bay",2025-09-27 10:00:45,1,5,17.73,34.04,4.3,8.13,7.7,0.0055,0.0074,0.664
AUV_CT_SB_1,"Cape Town, Saldanha Bay",2025-09-27 10:00:50,1,5,18.49,33.95,3.24,8.15,7.61,0.0118,0.0064,0.466
AUV_CT_SB_1,"Cape Town, Saldanha Bay",2025-09-27 10:00:55,1,5,18.05,33.95,3.07,8.17,7.74,0.011,0.0063,0.416
AUV_CT_SB_1,"Cape Town, Saldanha Bay",2025-09-27 10:01:00,1,5,17.94,33.97,3.74,8.17,7.55,0.0082,0.0036,0.47
AUV_CT_SB_1,"Cape Town, Saldanha Bay",2025-09-27 10:01:05,1,5,17.58,34.05,3.47,8.17,7.63,0.0064,0.0045,0.473
AUV_CT_SB_1,"Cape Town, Saldanha Bay",2025-09-27 10:01:10,1,5,17.94,34.05,3.7,8.15,7.74,0.0064,0.0029,0.621
AUV_CT_SB_1,"Cape Town, Saldanha Bay",2025-09-27 10:01:15,1,5,18.37,34.03,4,8.17,7.54,0.0081,0.0051,0.597
AUV_CT_SB_1,"Cape Town, Saldanha Bay",2025-09-27 10:01:20,1,5,17.91,33.99,3.73,8.18,7.65,0.0072,0.0032,0.33
AUV_CT_SB_1,"Cape Town, Saldanha Bay",2025-09-27 10:01:25,1,5,18.24,34.01,3.04,8.13,7.59,0.0063,0.0065,0.34
AUV_CT_SB_1,"Cape Town, Saldanha Bay",2025-09-27 10:01:30,1,5,17.71,34.02,3.44,8.12,7.79,0.0096,0.0066,0.458
AUV_CT_SB_1,"Cape Town, Saldanha Bay",2025-09-27 10:01:35,1,5,18.37,33.96,4.19,8.16,7.68,0.0116,0.003,0.338
AUV_CT_SB_1,"Cape Town, Saldanha Bay",2025-09-27 10:01:40,1,5,18.05,33.97,3.82,8.14,7.77,0.0094,0.007,0.438
AUV_CT_SB_1,"Cape Town, Saldanha Bay",2025-09-27 10:01:45,1,5,17.69,33.97,3.84,8.14,7.74,0.0055,0.0057,0.686
AUV_CT_SB_1,"Cape Town, Saldanha Bay",2025-09-27 10:01:50,1,5,17.93,33.97,4.93,8.17,7.5,0.0102,0.0069,0.591
AUV_CT_SB_1,"Cape Town, Saldanha Bay",2025-09-27 10:01:55,1,5,18.25,34.02,3.98,8.1,7.54,0.0058,0.0055,0.588
AUV_CT_SB_1,"Cape Town, Saldanha Bay",2025-09-27 10:02:00,1,5,17.96,34,3.31,8.18,7.62,0.0063,0.0063,0.6
AUV_CT_SB_1,"Cape Town, Saldanha Bay",2025-09-27 10:02:05,1,5,17.78,34.03,3.1,8.17,7.64,0.0092,0.0032,0.692
AUV_CT_SB_1,"Cape Town, Saldanha Bay",2025-09-27 10:02:10,1,5,18.38,33.98,3.57,8.15,7.69,0.0074,0.0062,0.627
AUV_CT_SB_1,"Cape Town, Saldanha Bay",2025-09-27 10:02:15,1,5,17.84,34,3.84,8.17,7.65,0.0116,0.0045,0.514
AUV_CT_SB_1,"Cape Town, Saldanha Bay",2025-09-27 10:02:20,1,5,18.41,33.98,3.64,8.12,7.58,0.0108,0.0035,0.361
AUV_CT_SB_1,"Cape Town, Saldanha Bay",2025-09-27 10:02:25,1,5,18.3,33.97,10.79,8.15,7.61,0.0099,0.0057,0.551
AUV_CT_SB_1,"Cape Town, Saldanha Bay",2025-09-27 10:02:30,1,5,17.88,34,4.3,8.13,7.56,0.008,0.0044,0.425
AUV_CT_SB_1,"Cape Town, Saldanha Bay",2025-09-27 10:02:35,1,5,17.66,34.04,3.88,8.11,7.65,0.01,0.0036,0.334
AUV_CT_SB_1,"Cape Town, Saldanha Bay",2025-09-27 10:02:40,1,5,17.67,34.04,3.05,8.16,7.54,0.0076,0.0026,0.609
AUV_CT_SB_1,"Cape Town, Saldanha Bay",2025-09-27 10:02:45,1,5,17.52,33.97,3.77,8.18,7.54,0.01,0.0043,0.699
AUV_CT_SB_1,"Cape Town, Saldanha Bay",2025-09-27 10:02:50,1,5,17.53,34.02,4.6,8.17,7.63,0.0077,0.0062,0.488
